O_score,C_score,E_score,A_score,N_score,Numerical Aptitude,Spatial Aptitude,Perceptual Aptitude,Abstract Reasoning,Verbal Reasoning,Career,Field Area
5.45,8.67,3.45,5.34,4.23,9.23,4.56,6.78,7.89,6.12,Accountant,Commerce
8.78,5.67,4.56,6.45,4.23,5.12,8.45,7.89,6.34,6.01,Graphic Designer,Other
6.12,6.78,9.34,7.56,5.01,6.23,4.23,6.45,6.67,8.45,Salesperson,Commerce
9.12,8.78,4.23,5.67,4.56,7.89,5.34,6.45,9.34,7.67,Research Scientist,Science & Technology
6.45,7.56,5.67,9.12,4.23,5.34,4.01,6.23,5.78,8.67,Teacher,Social Science & Law
8.45,7.01,5.34,5.45,4.56,6.45,9.12,7.67,8.89,4.23,Architect,Other
4.01,8.23,6.67,9.34,5.12,4.56,4.45,7.45,5.78,7.78,Nurse,Medical Science
8.78,7.89,5.67,6.01,4.67,8.45,4.23,5.34,9.23,6.45,Software Developer,Science & Technology
8.78,7.45,5.34,8.45,6.01,4.56,4.01,4.23,6.67,9.23,Psychologist,Social Science & Law
6.78,6.45,8.45,7.67,4.56,3.45,3.12,9.34,3.67,4.23,Chef,Other
6.23,7.34,8.78,7.45,5.67,5.12,4.34,4.67,6.01,7.89,Marketing Manager,Other
7.89,9.23,5.01,7.45,6.34,4.78,4.01,4.56,5.67,8.67,Physician,Other
9.34,3.56,7.23,6.78,5.45,2.89,2.34,9.12,5.23,4.01,Artist,Other
5.23,7.12,7.34,8.45,6.45,4.67,3.12,3.67,4.34,7.56,Human Resources Manager,Other
4.56,6.78,5.67,3.23,2.89,8.12,8.67,4.01,7.45,3.45,Construction Engineer,Science & Technology
8.78,7.34,5.23,6.45,6.01,4.67,3.56,4.01,4.45,9.12,Journalist,Literature
9.45,8.01,4.67,5.56,4.01,7.78,7.45,6.67,9.12,6.34,Astronomer,Other
6.78,8.67,5.23,6.45,4.01,9.12,2.89,3.56,3.23,4.45,Financial Analyst,Commerce
8.78,7.67,3.67,6.45,5.34,5.67,4.56,6.23,8.45,7.12,Biologist,Other
6.67,6.01,8.45,8.23,4.34,3.78,3.45,6.78,4.56,7.45,Event Planner,Other
6.12,7.01,8.67,7.89,5.34,4.23,3.67,4.01,4.45,7.45,Real Estate Agent,Other
9.12,7.45,4.23,5.67,3.78,7.01,6.45,6.78,8.78,6.01,Environmental Scientist,Science & Technology
8.45,7.89,5.67,7.12,6.45,5.12,3.45,4.23,4.56,9.34,Lawyer,Social Science & Law
6.34,8.12,2.89,6.78,4.78,7.45,3.23,3.56,4.23,7.01,IT Support Specialist,Other
8.78,3.78,7.67,7.01,6.01,3.45,2.78,8.45,5.67,4.23,Fashion Designer,Other
6.45,7.23,8.12,7.45,5.78,4.67,3.01,3.67,4.45,7.67,Marketing Coordinator,Other
7.89,7.67,4.01,5.23,4.56,9.45,3.45,6.78,8.78,5.34,Biomedical Engineer,Science & Technology
7.01,3.78,8.45,6.78,5.45,3.56,5.12,9.23,3.01,4.23,Event Photographer,Other
6.67,8.23,5.12,6.01,4.45,9.12,3.34,3.78,4.23,7.45,Data Analyst,Science & Technology
7.12,9.45,4.23,6.78,4.56,8.67,3.23,3.67,4.01,6.45,Pharmacist,Medical Science
7.56,7.01,4.67,9.23,6.34,3.45,2.89,4.45,3.12,6.67,Social Worker,Other
5.67,8.78,6.67,6.34,4.34,9.23,3.01,3.78,3.45,4.01,Financial Planner,Other
8.78,7.67,4.01,5.23,4.56,7.12,3.45,6.78,8.45,5.34,Biotechnologist,Other
6.45,6.67,7.01,8.12,5.56,4.01,3.23,3.78,4.23,7.45,HR Recruiter,Other
6.78,8.45,5.12,6.01,4.56,7.89,3.45,3.67,4.23,7.34,Software Quality Assurance Tester,Other
6.45,7.67,5.34,9.23,4.45,3.78,2.89,3.01,3.56,8.12,Elementary School Teacher,Social Science & Law
6.01,7.34,4.01,5.23,4.67,8.78,8.23,6.78,7.45,5.45,Industrial Engineer,Science & Technology
8.45,7.78,5.67,7.34,6.45,5.12,3.23,3.78,4.45,8.12,Market Research Analyst,Other
6.78,8.67,4.45,6.01,4.78,8.34,3.23,3.67,4.12,7.23,Financial Auditor,Other
9.34,4.45,8.45,6.45,7.12,3.23,3.01,6.67,6.01,5.23,Musician,Other
5.67,8.78,7.12,6.45,6.01,4.56,3.67,4.23,5.34,8.45,Police Detective,Other
8.45,6.45,7.01,7.56,5.67,3.78,2.89,3.12,3.45,8.12,Marketing Copywriter,Literature
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Zoologist,Other
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Speech Therapist,Other
6.78,7.23,3.89,5.12,4.67,8.89,8.45,6.12,7.78,5.45,Mechanical Engineer,Science & Technology
8.78,7.67,4.01,5.12,4.67,7.23,6.78,6.12,8.45,5.45,Forensic Scientist,Science & Technology
6.67,7.34,8.45,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Social Media Manager,Other
9.12,7.45,4.01,5.23,4.67,7.01,6.45,6.78,8.78,5.45,Geologist,Other
8.67,7.78,5.67,4.23,6.45,4.45,3.34,3.78,8.23,7.45,Web Developer,Other
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.34,7.45,Wildlife Biologist,Other
5.12,8.89,4.34,5.45,4.78,8.45,7.23,6.78,7.67,5.67,Air Traffic Controller,Other
9.12,7.45,5.45,5.23,4.67,7.01,6.45,6.78,8.78,4.01,Game Developer,Other
6.78,7.34,3.67,5.23,4.67,7.89,8.45,6.12,4.34,5.45,Urban Planner,Other
6.67,7.78,3.45,6.01,5.45,8.67,3.12,3.78,4.45,7.45,Financial Advisor,Other
4.34,8.89,4.78,6.45,5.45,7.67,8.45,6.78,5.12,7.23,Airline Pilot,Other
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Engineer,Science & Technology
8.45,4.23,7.67,7.23,6.45,3.78,3.45,8.12,5.67,4.45,Interior Designer,Other
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Physical Therapist,Other
6.78,7.67,3.78,4.89,4.34,8.56,9.23,6.01,8.12,5.45,Mechanical Designer,Other
7.23,8.34,5.45,9.12,6.01,4.67,3.23,3.67,4.34,7.01,Dental Hygienist,Other
6.67,8.45,3.45,6.12,5.23,7.78,3.12,3.78,4.45,7.45,Marketing Analyst,Other
7.23,7.67,4.23,5.45,4.89,9.23,8.67,6.45,8.12,5.67,Aerospace Engineer,Science & Technology
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Pediatric Nurse,Medical Science
7.67,6.12,8.78,7.45,6.45,3.45,2.89,3.12,3.67,8.23,Advertising Executive,Other
8.89,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Wildlife Conservationist,Other
6.78,8.45,7.34,5.45,6.01,4.67,3.45,3.78,4.23,7.78,IT Project Manager,Other
7.45,7.12,4.67,8.67,6.34,3.45,2.89,4.45,3.12,6.78,Forestry Technician,Other
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Video Game Tester,Other
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Marriage Counselor,Other
8.67,8.12,4.01,5.23,4.67,7.45,7.23,6.12,6.78,5.45,Environmental Scientist,Science & Technology
9.23,7.67,4.23,5.12,4.67,7.23,3.67,6.78,8.78,5.45,Biomedical Researcher,Medical Science
6.67,8.45,3.45,6.12,5.45,7.78,3.12,3.78,4.45,7.45,Database Administrator,Other
6.67,7.34,8.67,7.89,5.45,3.78,2.89,3.12,3.45,8.12,Public Relations Specialist,Other
7.78,7.34,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Genetic Counselor,Other
8.67,7.67,6.01,7.45,6.45,4.45,2.89,3.12,4.67,8.23,Market Researcher,Other
7.01,7.78,5.23,9.12,6.01,4.67,3.23,3.67,4.34,8.45,Occupational Therapist,Other
7.23,7.67,4.23,5.45,4.89,9.34,8.67,6.45,8.12,5.67,Electrical Engineer,Science & Technology
7.23,8.23,8.67,6.45,6.01,7.67,4.23,4.56,5.12,5.45,Investment Banker,Other
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.78,8.45,7.45,Marine Biologist,Other
7.45,7.78,6.01,8.67,6.45,5.12,4.23,4.56,5.34,8.23,Human Rights Lawyer,Social Science & Law
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Database Analyst,Other
6.01,8.45,5.23,9.34,6.45,4.67,3.23,3.67,4.34,7.78,Pediatrician,Other
7.67,8.78,5.45,7.45,6.01,4.45,3.45,3.78,4.23,8.45,Technical Writer,Literature
8.67,7.78,4.45,5.12,6.01,5.34,4.01,6.45,8.23,7.45,Forensic Psychologist,Social Science & Law
8.78,8.34,7.45,6.45,5.45,4.45,2.89,3.12,4.67,7.67,Product Manager,Other
8.78,4.23,7.67,7.45,6.45,3.78,3.45,8.34,5.67,4.45,Fashion Stylist,Other
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Speech Pathologist,Other
8.78,7.67,4.45,5.12,6.01,5.34,4.01,6.45,8.34,7.45,Public Health Analyst,Other
6.78,7.67,8.45,8.23,6.45,3.78,2.89,3.12,3.45,5.45,Sports Coach,Other
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Insurance Underwriter,Literature
6.01,7.67,5.23,9.12,6.45,4.67,3.23,3.67,4.34,8.34,Chiropractor,Other
5.23,7.67,4.67,8.56,8.12,4.23,3.12,3.45,3.78,6.45,Radiologic Technologist,Other
7.67,9.23,4.23,7.34,6.45,8.67,3.78,4.45,5.67,8.12,Tax Accountant,Commerce
6.01,8.45,3.78,4.01,4.67,7.67,8.23,6.78,7.45,4.23,Quality Control Inspector,Other
6.01,7.78,5.23,9.34,6.45,4.67,3.23,3.67,4.34,8.45,Rehabilitation Counselor,Other
8.67,4.23,7.67,7.45,6.45,3.78,3.45,8.23,5.67,4.45,Film Director,Other
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Diplomat,Other
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Police Officer,Other
7.45,8.67,5.23,7.67,6.01,4.67,3.23,3.67,4.34,8.23,Administrative Officer,Other
6.78,8.45,3.45,6.45,5.45,8.12,3.12,3.78,4.45,7.67,Tax Collector,Other
7.67,8.23,6.01,9.12,5.45,4.45,2.89,3.12,4.67,8.34,Foreign Service Officer,Other
2.67,8.78,7.67,8.45,6.45,4.45,2.89,3.12,4.67,5.45,Customs and Border Protection Officer,Other
6.78,8.67,4.23,5.23,4.67,8.23,7.67,6.01,7.45,5.45,Civil Engineer,Science & Technology
7.34,7.67,4.23,5.23,4.67,9.34,8.45,6.78,8.12,5.67,Robotics Engineer,Science & Technology
7.34,7.67,4.23,5.45,4.89,9.12,8.67,6.45,8.23,5.67,Electronics Design Engineer,Science & Technology
